Brand,Price,Body,Mileage,EngineV,EngineType,Registration,Year
BMW,4200,sedan,277,2,Petrol,yes,1991
Mercedes-Benz,7900,van,427,2.9,Diesel,yes,1999
Mercedes-Benz,13300,sedan,358,5,Gas,yes,2003
Audi,23000,crossover,240,4.2,Petrol,yes,2007
Toyota,18300,crossover,120,2,Petrol,yes,2011
Mercedes-Benz,199999,crossover,0,5.5,Petrol,yes,2016
BMW,6100,sedan,438,2,Gas,yes,1997
Audi,14200,vagon,200,2.7,Diesel,yes,2006
Renault,10799,vagon,193,1.5,Diesel,yes,2012
Volkswagen,1400,other,212,1.8,Gas,no,1999
Renault,11950,vagon,177,1.5,Diesel,yes,2011
Renault,2500,sedan,260,1.79,Petrol,yes,1994
Audi,9500,vagon,165,2.7,Gas,yes,2003
Volkswagen,10500,sedan,100,1.8,Petrol,yes,2008
Toyota,16000,crossover,250,4.7,Gas,yes,2001
Renault,8600,hatch,84,1.5,Diesel,yes,2012
BMW,2990,other,203,2,Petrol,no,2001
Mercedes-Benz,NA,van,240,2.2,Diesel,yes,2007
Toyota,26500,crossover,21,2,Petrol,yes,2013
Audi,3500,vagon,250,2.5,Diesel,no,1998
Toyota,38233,other,0,2.4,Diesel,yes,2016
Volkswagen,7500,hatch,132,1.4,Diesel,yes,2006
Audi,6800,sedan,225,2.4,Gas,yes,1998
Mitsubishi,10500,crossover,130,2.4,Gas,yes,2006
Audi,24900,sedan,163,4.2,Diesel,yes,2008
Volkswagen,20800,crossover,151,3,Diesel,yes,2008
Audi,6500,sedan,330,2.4,Petrol,yes,1999
Mercedes-Benz,13566,other,171,2.2,Other,no,2011
Mitsubishi,8500,hatch,65,1.3,Petrol,yes,2010
Mercedes-Benz,NA,crossover,0,4.6,Petrol,yes,2016
Audi,2900,sedan,1,2.3,Gas,yes,1989
BMW,21500,other,72,3,Petrol,yes,2007
Mitsubishi,17900,crossover,87,3.8,Gas,yes,2008
BMW,28500,crossover,160,4.8,Gas,yes,2008
Volkswagen,9800,van,160,1.9,Diesel,yes,2009
Toyota,14500,sedan,147,2.4,Gas,yes,2006
BMW,6000,sedan,300,2.8,Petrol,yes,1996
BMW,67500,crossover,1,2.5,Diesel,yes,2016
Audi,33900,other,14,1.8,Petrol,yes,2014
Audi,2500,sedan,180,2,Petrol,no,2000
Mercedes-Benz,9800,van,230,2.15,Diesel,yes,2004
Mercedes-Benz,63000,crossover,86,5.5,Petrol,yes,2009
BMW,7700,sedan,326,2.8,Petrol,yes,1998
Mercedes-Benz,9600,van,30,2.2,Diesel,yes,2006
Toyota,12800,sedan,181,2.4,Petrol,yes,2008
BMW,41000,crossover,80,3,Petrol,yes,2012
Mitsubishi,2500,sedan,220,2.4,Petrol,yes,1987
BMW,3700,sedan,231,2.5,Petrol,yes,1990
Mercedes-Benz,29500,sedan,134,5,Petrol,yes,2008
BMW,6500,sedan,335,2.8,Petrol,yes,1996
Mercedes-Benz,NA,sedan,145,3.2,Diesel,yes,2007
Renault,8250,van,66,1.5,Diesel,yes,2014
Mercedes-Benz,19500,crossover,172,3.5,Other,yes,2008
Mercedes-Benz,13500,sedan,317,5,Petrol,yes,2001
Mercedes-Benz,9200,van,266,2.2,Diesel,yes,2008
Mercedes-Benz,NA,crossover,0,3,Diesel,yes,2016
Toyota,10900,sedan,156,2,Gas,yes,2005
Volkswagen,5000,vagon,265,2,Diesel,no,2006
BMW,23900,crossover,162,4.8,Petrol,yes,2007
BMW,36900,sedan,81,3,Diesel,yes,2010
BMW,8900,other,253,1.8,Petrol,yes,1995
Renault,7800,van,200,1.9,Diesel,yes,2002
BMW,133000,crossover,7,4.4,Petrol,yes,2015
BMW,1650,sedan,270,1.8,Petrol,no,1995
Mercedes-Benz,50000,sedan,240,3.5,Petrol,yes,2006
Renault,9700,van,245,2,Diesel,yes,2008
Mercedes-Benz,9999,van,127,2.2,Diesel,yes,2005
Audi,69999,crossover,21,3,Petrol,yes,2015
Mitsubishi,6500,sedan,152,1.6,Petrol,yes,2007
Audi,4300,sedan,267,1.9,Diesel,no,2003
Audi,3000,sedan,267,2.5,Diesel,no,1999
Mercedes-Benz,8700,sedan,240,2.2,Diesel,yes,2000
Renault,9000,vagon,178,2,Petrol,yes,2008
Mercedes-Benz,20400,sedan,190,1.8,Gas,yes,2011
BMW,9000,sedan,175,3,Petrol,no,2006
Mercedes-Benz,13400,sedan,105,1.8,Petrol,yes,2006
Volkswagen,3700,sedan,195,1.9,Diesel,no,2001
Volkswagen,9850,van,126,2,Diesel,yes,2012
Audi,3700,hatch,420,2,Diesel,no,2004
Toyota,15700,crossover,195,4,Gas,yes,2003
Mercedes-Benz,24500,sedan,180,2.2,Diesel,yes,2012
Mitsubishi,7500,sedan,195,1.6,Gas,yes,2007
Volkswagen,11990,van,231,2.5,Diesel,yes,2002
Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014
BMW,8200,sedan,287,2.5,Gas,yes,1999
Renault,6999,van,222,1.5,Diesel,yes,2009
Renault,6750,vagon,214,1.5,Diesel,yes,2004
Audi,18500,sedan,245,3,Diesel,yes,2006
Toyota,14299,sedan,83,2,Petrol,yes,2009
Mercedes-Benz,28500,crossover,210,3.2,Diesel,yes,2007
Mitsubishi,17000,crossover,89,3.8,Petrol,yes,2008
Mercedes-Benz,NA,crossover,0,3,Diesel,yes,2016
Mercedes-Benz,25700,crossover,130,4.7,Gas,yes,2008
Audi,2650,vagon,333,2.5,Diesel,no,2000
Mitsubishi,8500,sedan,116,1.5,Petrol,yes,2008
Mercedes-Benz,4000,sedan,405,2,Diesel,yes,1992
Renault,11000,other,131,1.5,Diesel,yes,2011
Mercedes-Benz,14500,sedan,138,2,Petrol,yes,2007
BMW,4099,sedan,50,2.5,Petrol,yes,1988
Volkswagen,31500,crossover,1,2,Petrol,yes,2014
Renault,4500,van,207,1.5,Diesel,yes,2003
Volkswagen,6700,other,207,1.9,Diesel,yes,2004
Renault,NA,van,85,1.5,Diesel,yes,2012
Mitsubishi,20800,crossover,31,2.4,Petrol,yes,2011
Mercedes-Benz,107999,crossover,0,2.98,Diesel,yes,2016
BMW,3500,sedan,334,2,Diesel,no,1999
Audi,39000,sedan,18,1.8,Other,yes,2015
Toyota,13500,crossover,150,4.7,Gas,yes,2002
Mitsubishi,6150,sedan,175,1.6,Petrol,yes,2007
BMW,45500,crossover,76,4.4,Petrol,yes,2010
BMW,4900,sedan,295,2,Petrol,yes,1994
BMW,47000,other,5,2,Petrol,yes,2014
Toyota,19200,crossover,190,2.7,Gas,yes,2005
Renault,NA,vagon,180,1.5,Diesel,yes,2011
Mitsubishi,11100,crossover,119,2.4,Gas,yes,2008
Mitsubishi,8200,sedan,139,1.5,Other,yes,2012
Volkswagen,10300,sedan,235,2,Petrol,yes,2007
Renault,11990,van,210,1.1,Diesel,yes,2010
Mitsubishi,800,sedan,340,2,Other,yes,1986
BMW,46800,sedan,33,2,Diesel,yes,2014
Volkswagen,1500,other,260,1.8,Gas,no,1994
BMW,6350,crossover,156,4.4,Gas,no,2002
Mercedes-Benz,NA,sedan,16,3,Diesel,yes,2014
Mercedes-Benz,8900,hatch,155,1.5,Petrol,yes,2005
Mercedes-Benz,12700,van,160,3,Diesel,yes,2007
Mitsubishi,8000,sedan,207,1.6,Gas,yes,2007
Toyota,29500,crossover,63,4,Petrol,yes,2008
Volkswagen,NA,hatch,100,2,Petrol,yes,2013
Renault,7100,van,208,1.5,Diesel,yes,2008
Renault,10850,crossover,103,2.5,Gas,yes,2010
Volkswagen,NA,van,277,2.5,Diesel,yes,2001
Toyota,195000,crossover,0,4.5,Diesel,yes,2016
Volkswagen,27000,sedan,57,2,Diesel,yes,2013
Volkswagen,18100,other,64,2,Petrol,yes,2011
BMW,27000,sedan,137,5,Other,yes,2005
BMW,8990,other,300,2.2,Petrol,yes,2002
Toyota,32900,crossover,82,2.7,Petrol,yes,2013
BMW,25500,other,163,4.8,Petrol,yes,2008
Toyota,8900,crossover,153,2,Petrol,yes,2003
Audi,11950,sedan,190,3,Petrol,yes,2006
Mercedes-Benz,22700,sedan,125,2.2,Diesel,yes,2010
Audi,600,sedan,112,1.6,Petrol,yes,1980
BMW,13000,sedan,165,2.2,Gas,yes,2003
Audi,25000,other,60,2,Petrol,yes,2011
Toyota,26900,crossover,119,4,Gas,yes,2008
Mercedes-Benz,87777,van,0,2.2,Diesel,yes,2016
Volkswagen,6000,van,200,2,Diesel,yes,2008
Audi,9800,vagon,257,2.5,Diesel,yes,2003
Audi,13900,other,197,2,Diesel,yes,2006
Renault,12200,van,164,2.5,Diesel,yes,2009
Mercedes-Benz,13500,crossover,205,2.7,Diesel,yes,2005
BMW,18100,crossover,200,4.8,Petrol,yes,2005
BMW,33000,crossover,200,3,Diesel,yes,2010
Volkswagen,16900,crossover,145,1.4,Petrol,yes,2011
Mercedes-Benz,22000,sedan,110,1.8,Petrol,yes,2011
Volkswagen,10700,sedan,195,3.2,Petrol,yes,2007
Mercedes-Benz,7800,sedan,226,2.2,Diesel,yes,2000
Mercedes-Benz,17300,sedan,184,1.8,Gas,yes,2008
BMW,70000,sedan,16,3,Diesel,yes,2014
Volkswagen,2200,hatch,118,1.4,Petrol,no,2001
BMW,8900,sedan,256,2.2,Petrol,yes,2002
Mercedes-Benz,31600,sedan,33,1.6,Petrol,yes,2013
Volkswagen,7900,other,168,1.9,Diesel,yes,2006
Toyota,28500,crossover,97,3.5,Petrol,yes,2012
Renault,6900,van,140,1.5,Diesel,yes,2012
BMW,8850,vagon,280,2.5,Diesel,yes,2000
Renault,3100,van,164,1.4,Petrol,yes,1999
BMW,8900,sedan,250,2.5,Petrol,yes,2000
Renault,6100,sedan,130,1.4,Petrol,yes,2005
BMW,1400,sedan,260,1.8,Petrol,no,1996
Volkswagen,8800,van,93,1.6,Diesel,yes,2012
Renault,10299,other,176,2,Diesel,yes,2013
